# slowdown,checked_1*X2@3GHz,checked_2*X2@1.5GHz,checked_4*A510@2GHz,1*X2@3GHz,2*X2@1.5GHz,4*A510@2GHz,hashed_1*X2@3GHz_slowNoC,hashed_2*X2@1.5GHz_slowNoC,hashed_4*A510@2GHz_slowNoC,slow_1*X2@3GHz,slow_2*X2@1.5GHz,slow_4*A510@2GHz
bwaves 1.0013706765569446 0.9990296584015323 1.715167707689336 1.0230409490263705 1.0141385598015884 1.7152353651109205 1.0413042563812047 1.024375798552054 1.7152279285040333 1.3258024152357777 1.2800377362837316 1.715352138394883
gcc 1.0044977013845864 1.0208650253248108 1.0758603582009554 1.016399429085051 1.0307696430006876 1.0944864310464226 1.017775723193424 1.0305205690280002 1.0944864310464226 1.2045305937284667 1.1741955172111467 1.266914383613767
mcf 1.000256505931673 1.0003957789677278 0.9999145633005206 1.0052382007761014 1.0033792003847732 1.0031072414305646 1.0071288905454403 1.0054697468718357 1.0051379430613445 1.0668372866692881 1.0411610482497307 1.0373123198812695
xalancbmk 1.0038125726996059 1.0035366039778606 1.012217005435184 1.0104974621779659 1.0025374230520112 1.0129740793089737 1.017879920187397 1.0151688284816738 1.0223870664609078 1.0464248906143712 1.0337280987409811 1.0378185003519904
deepsjeng 1.0027034885722022 1.0048372006832529 1.0000862123406011 1.0082642554263248 1.0074160097970488 1.0030713835502285 1.008600094472847 1.0091779361118511 1.0034407277399005 1.1725285361193398 1.1451166190850053 1.1522680217383636
leela 1.0023183707379821 1.0037763164792954 1.0005331761072367 1.0028815860802789 1.0050879123675607 1.000263608508211 1.0025767785851187 1.0049873256232902 1.0002029070422327 1.0260902810113557 1.0172359659246728 1.0163659386657597
exchange2 1.0051282766810454 1.0203748211978736 1.0005786237952339 1.0049878320347212 1.020192029282556 1.0009420281367964 1.0052602070616465 1.020214801888008 1.0009420281367964 1.0141988824517012 1.0398283092206138 1.0131686562991562
xz 1.0019800067165252 1.000268511907273 1.0001913525571429 1.00205545579973 1.0002687530987624 1.0002315657563865 1.002132571296862 1.0002688408047586 1.00023171924188 1.0024638149178953 1.0004052236288024 1.0002697397912195
cactuBSSN 0.9981750580677639 0.9987994584078679 1.0000650497667813 1.040450245033423 1.0267775034260807 1.0227474502080165 1.1245878037574506 1.0712088974145177 1.0669945822238005 1.8745706138767297 1.8655210025825548 1.901189823622872
lbm 1.0003595098126739 1.00070751197765 1.001424266402151 1.00835571154099 1.0056976532786353 1.0060700330649872 1.0124942281453664 1.00910553576087 1.0089017211092197 1.070439567032502 1.0488104409945365 1.0433967712446857
wrf 1.0041770183216037 1.0093062498914855 1.0348808021374212 1.0508771692622003 1.0433068285609297 1.0628263202617747 1.0627128765625355 1.0492935304163762 1.0686784239068827 1.4696411264218245 1.382560719240489 1.404386746647986
cam4 1.0027669596678799 1.0036383504856163 0.999876632854457 1.0455832774593938 1.0300539113017846 1.0267412830100813 1.0555457187765922 1.039661026209707 1.0354643443385552 1.2670855372478331 1.2045706850415434 1.191192006094937
pop2 1.001442209688003 1.0028103101381227 1.0003448970135547 1.018881124689323 1.0147149785002543 1.0091585185095777 1.0235026221763461 1.014923981190684 1.013698034239394 1.0970334614338126 1.069068196363398 1.0620642833179583
imagick 1.0017276002601756 1.0004097568911963 1.0005335493586691 1.0073053253764557 1.0066402754516237 1.0065313960419295 1.0086005475889661 1.0074564483870643 1.0058963936140797 1.0593563850297132 1.037280873395606 1.0353721831301759
nab 1.0017828473761452 1.0005025920706407 0.9997135212584548 1.0073648804698914 1.0037943227823054 1.0032269850025395 1.0079872240739682 1.004659981321844 1.0032269850025395 1.1130079455037327 1.0781878432783865 1.07688503908847
fotonik3d 1.0031223748218256 1.0030159726125403 1.0029110447306662 1.0044976126879674 1.0034584624985436 1.0030288434908423 1.0042035433424763 1.0034985199743132 1.0031079264131932 1.1771094038956655 1.1823393887252787 1.2650967625406548
roms 1.0139278382828392 1.0145148061215878 1.0059112887846422 1.0168581186025403 1.0165123442271584 1.0082672875705134 1.0177903144347629 1.0173101984078328 1.0082672875705134 1.0287272410805843 1.0238312494014343 1.0136973163411065
x264 1.004338387669852 1.0268647033105922 1.0161856172319284 1.009448256416297 1.0300694888609447 1.023919636738653 1.0099777379095631 1.030547148761253 1.025688368425787 1.2227686169120437 1.221022530917337 1.2517815677467752
perlbench 1.0013775984195743 1.0150584276509862 1.0274322368795612 1.0161172999113193 1.0253639771620848 1.041669159502578 1.0155565475300177 1.024424369006941 1.0395041315136597 1.4706601857757817 1.4855778033789346 1.4738281178381227
omnetpp 1.001534347394292 1.001368434625947 1.0012530930344476 1.0187744817323805 1.0115691188150147 1.0119395053153843 1.023392717629314 1.017396837903296 1.0119395053153843 1.0962525963553482 1.0676070492925216 1.0622669472125357
geomean 1.002835452701018 1.0064710507655217 1.036422250428655 1.0158007500260329 1.0150171054244457 1.0445976376259565 1.0230729507666219 1.01984068274616 1.0484840409516707 1.1749962290871085 1.1551685788329218 1.1800672547871833
