# slowdown,1*X2@3GHz_opp,2*X2@1.5GHz_opp,4*A510@2GHz_opp
bwaves 1.0221618022098655 1.0157284378402363 1.011230090001642
gcc 1.013870400741495 1.013226888805234 1.0075724589654154
mcf 1.0049099931759238 1.0027985281387701 1.0031072414305646
xalancbmk 1.0101442904038143 1.0021111934948868 1.008201954459303
deepsjeng 1.0053700537520476 1.0034423817314522 1.0030713835502285
leela 1.000917781245758 1.0004698743107212 1.000263608508211
exchange2 1.001337513742748 1.001504906651159 1.0009420281367964
xz 1.0001150264139764 1.0002316096093846 1.0002315657563865
cactuBSSN 1.043129672830964 1.0274517274035733 1.0252112443997805
lbm 1.0067645361651336 1.0057697924461642 1.0060700330649872
wrf 1.0471127320674343 1.0343806286939763 1.0283593509240798
cam4 1.0429184322950729 1.026894146049672 1.0268387072007048
pop2 1.0163161772265135 1.013087413556526 1.0091585185095777
imagick 1.006056351756085 1.006580421964668 1.0065313960419295
nab 1.0054490661482525 1.0034244033584805 1.0032269850025395
fotonik3d 1.0036731540562012 1.0026126556058594 1.002817056358185
roms 1.0031603071028299 1.0021673092089443 1.0027219892918366
x264 1.0050666777209214 1.0040737042057462 1.0023638207682424
perlbench 1.013190504490482 1.011573593823428 1.0080329878182346
omnetpp 1.0165465430566818 1.0110274470207636 1.011351375592207
geomean 1.0133121000650813 1.009381823554747 1.0083302632946918
