# slowdown,DSN18,Paradox,1*X2@3GHz,2*X2@1.5GHz,4*A510@2GHz,4*A510_minED2P
bwaves 1.5868671406502017 1.1950148241835543 1.0230409490263705 1.0141385598015884 1.7152353651109205 1.7152353651109205
gcc 1.253093636966411 1.0113432938157467 1.016399429085051 1.0307696430006876 1.0944864310464226 1.1319779038815283
mcf 1.0020240611038147 1.0005857015995356 1.0052382007761014 1.0033792003847732 1.0031072414305646 1.003054820434187
xalancbmk 1.0139389140867727 1.0030031958887384 1.0104974621779659 1.0025374230520112 1.0129740793089737 1.0262488460994834
deepsjeng 1.1481385561639847 1.0021797875899943 1.0082642554263248 1.0074160097970488 1.0030713835502285 1.0037825526606101
leela 1.024002865672599 1.0012369989059786 1.0028815860802789 1.0050879123675607 1.000263608508211 1.016165672584229
exchange2 1.01270428254326 1.0031892850613846 1.0049878320347212 1.020192029282556 1.0009420281367964 1.000855093002567
xz 1.0006697887662477 1.0008577865690371 1.00205545579973 1.0002687530987624 1.0002315657563865 1.0002315657563865
cactuBSSN 1.0016074695777821 0.9953300299837005 1.040450245033423 1.0267775034260807 1.0227474502080165 1.0403806306536985
lbm 1.0006309439150696 1.0006399299240885 1.00835571154099 1.0056976532786353 1.0060700330649872 1.006122383779837
wrf 1.0647829080572278 1.0052804609189987 1.0508771692622003 1.0433068285609297 1.0628263202617747 1.0945262498049837
cam4 1.0029649277029964 1.0019849339349383 1.0455832774593938 1.0300539113017846 1.0267412830100813 1.0328304140775073
pop2 0.9937545078389229 0.999231286580886 1.018881124689323 1.0147149785002543 1.0091585185095777 1.0093745123556874
imagick 1.0028144220498796 1.0010969852096478 1.0073053253764557 1.0066402754516237 1.0065313960419295 1.0172304181538887
nab 1.0033416774015613 1.0018828949123886 1.0073648804698914 1.0037943227823054 1.0032269850025395 1.003832623653093
fotonik3d 1.7032811702043325 1.0797365654089264 1.0044976126879674 1.0034584624985436 1.0030288434908423 1.0077613460220045
roms 0.9997548452678026 1.0001149109449567 1.0168581186025403 1.0165123442271584 1.0082672875705134 1.0082672875705134
x264 1.0454764647003778 1.0011590546557605 1.009448256416297 1.0300694888609447 1.023919636738653 1.0833366254874672
perlbench 1.3128537364313333 1.004630990525937 1.0161172999113193 1.0253639771620848 1.041669159502578 1.0904617483979107
omnetpp 1.01131075506233 1.0026113475189073 1.0187744817323805 1.0115691188150147 1.0119395053153843 1.01253351951341
geomean 1.0945289262952183 1.014662099800666 1.0158007500260329 1.0150171054244457 1.0445976376259565 1.0569103281712562
